Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,STOCHk_14_3_3,STOCHd_14_3_3,RSI_14,CMO_14,CCI_14_0.015,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,PPO_12_26_9,PPOh_12_26_9,PPOs_12_26_9,EMA_10,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2,ADX_14,DMP_14,DMN_14,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,FWMA_10,WILLR_14,ISA_9,ISB_26,ITS_9,IKS_26,ICS_26,OBV,AD
1996-08-08 00:00:00-04:00,8.0,9.5,8.0,9.5,3600,0.0,0.0,0.0,,,,,,,,,,,,,,,0.02,0,,,,,,,,,,,,,,,7.699999809265137,3600.0,3599.999999999999
1996-08-09 00:00:00-04:00,9.5,9.899999618530273,9.5,9.899999618530273,2000,0.0,0.0,0.0,,,,,,,,,,,,,0.07440000027418137,,0.04,0,,,,,,,,,,,,,,,7.699999809265137,5600.0,5599.999999999998
1996-08-12 00:00:00-04:00,10.0,10.0,10.0,10.0,650,0.0,0.0,0.0,,,,,,,,,,,,,0.46742398500442506,,0.06,0,,,,,,,,,,,,,,,7.099999904632568,6250.0,5599.999999999998
1996-08-13 00:00:00-04:00,10.0,10.0,10.0,10.0,0,0.0,0.0,0.0,,,,,,,,,,,,,1.0393785459041596,,0.06,0,,,,,,,,,,,,,,,7.199999809265137,6250.0,5599.999999999998
1996-08-14 00:00:00-04:00,10.0,10.0,9.800000190734863,9.800000190734863,750,0.0,0.0,0.0,,,,,,,,,,,,,1.5770158331499098,,0.06,0,,,,9.469055287848919,9.839999961853028,10.210944635857137,7.539525923621132,0.44608391234413364,,,,,,,7.0,5500.0,4849.999999999999
1996-08-15 00:00:00-04:00,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,0,0.0,0.0,0.0,,,,,,,,,,,,,2.0823948831609154,,0.06,0,,,,9.721114732398059,9.9,10.078885267601942,3.6138437899382176,0.22049176937349013,,,,,,,7.0,5500.0,4849.999999999999
1996-08-16 00:00:00-04:00,8.600000381469727,8.600000381469727,8.600000381469727,8.600000381469727,800,0.0,0.0,0.0,,,,,,,,,,,,,2.5574511901712604,,0.06,0,,,,8.584727930414529,9.640000152587891,10.695272374761254,21.893614221366406,0.007236261286089864,,,,,,,6.5,4700.0,4849.999999999999
1996-08-19 00:00:00-04:00,9.300000190734863,9.800000190734863,9.0,9.800000190734863,1650,0.0,0.0,0.0,,,,,,,,,,,,,3.0040041187609847,,0.06,0,,,,8.588071550585784,9.600000190734864,10.611928830883944,21.081846250913838,0.5988211974959692,,,,,,,7.0,6350.0,6499.999999999999
1996-08-20 00:00:00-04:00,9.899999618530273,9.899999618530273,9.100000381469727,9.100000381469727,1310,0.0,0.0,0.0,,,,,,,,,,,,,3.423763871635326,,0.06,0,,,,8.436943985781571,9.420000267028808,10.403056548276044,20.871682662007093,0.33724233715638,,,,,9.0,,7.0,5040.0,5190.0
1996-08-21 00:00:00-04:00,9.100000381469727,9.100000381469727,9.100000381469727,9.100000381469727,0,0.0,0.0,0.0,,,,,,,,,,,,9.560000133514404,3.818338039337206,,0.06,0,,,,8.355662876193689,9.280000305175781,10.204337734157873,19.92106462467586,0.4026330006433497,9.260839475618376,,,,9.300000190734863,,7.0,5040.0,5190.0
