Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,STOCHk_14_3_3,STOCHd_14_3_3,RSI_14,CMO_14,CCI_14_0.015,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,PPO_12_26_9,PPOh_12_26_9,PPOs_12_26_9,EMA_10,PSARl_0.02_0.2,PSARs_0.02_0.2,PSARaf_0.02_0.2,PSARr_0.02_0.2,ADX_14,DMP_14,DMN_14,BBL_5_2.0,BBM_5_2.0,BBU_5_2.0,BBB_5_2.0,BBP_5_2.0,FWMA_10,WILLR_14,ISA_9,ISB_26,ITS_9,IKS_26,ICS_26,OBV,AD
2018-12-07 00:00:00-05:00,22.0,22.75,18.510000228881836,18.600000381469727,12995600,0.0,0.0,,,,,,,,,,,,,,,0.02,0,,,,,,,,,,,,,,,16.260000228881836,12995600.0,-12443899.034854548
2018-12-10 00:00:00-05:00,18.899999618530273,19.43899917602539,18.0,18.799999237060547,4233300,0.0,0.0,,,,,,,,,,,,,,131.05999755859375,0.04,0,,,,,,,,,,,,,,,16.309999465942383,17228900.0,-11970265.456751294
2018-12-11 00:00:00-05:00,20.549999237060547,20.65999984741211,17.989999771118164,18.010000228881836,3435300,0.0,0.0,,,,,,,,,,,,,,126.53759765625,0.06,0,,,,,,,,,,,,,,,16.690000534057617,13793600.0,-15354099.111738369
2018-12-12 00:00:00-05:00,18.549999237060547,19.479999542236328,18.020000457763672,18.68000030517578,2590700,0.0,0.0,,,,,,,,,,,,,,120.02474178314209,0.06,0,,,,,,,,,,,,,,,15.5600004196167,16384300.0,-15602521.472149102
2018-12-13 00:00:00-05:00,19.25,19.290000915527344,18.68000030517578,18.760000228881836,1608600,0.0,0.0,,,,,,,,,,,,,,113.90265726242066,0.06,0,,,,17.993389587521467,18.570000076293944,19.14661056506642,6.210129094275724,0.6647560669529059,,,,,,,14.789999961853027,17992900.0,-16789194.42784863
2018-12-14 00:00:00-05:00,18.75,18.881000518798828,18.25,18.31999969482422,746300,0.0,0.0,,,,,,,,,,,,,,108.14789781294252,0.06,0,,,,17.90636869209021,18.513999938964844,19.121631185839476,6.564019108542854,0.34036350571298757,,,,,,,14.640000343322754,17246600.0,-17369913.669383455
2018-12-17 00:00:00-05:00,18.329999923706055,18.469999313354492,16.899999618530273,17.0,1580800,0.0,0.0,,,,,,,,,,,,,,102.73842393043306,0.08,0,,,,16.88154720638531,18.154000091552735,19.42645297672016,14.018429863945103,0.04654506072305551,,,,,,,14.90999984741211,15665800.0,-18749337.065873932
2018-12-18 00:00:00-05:00,17.100000381469727,17.25,16.25,17.0,1621600,0.0,0.0,,,,,,,,,,,,,,95.87134998548083,0.1,0,,,,16.369374230341815,17.952000045776366,19.534625861210916,17.6317492357282,0.19923400828800145,,,,,,,14.449999809265137,15665800.0,-17938537.065873932
2018-12-19 00:00:00-05:00,16.860000610351562,17.3700008392334,16.0,16.18000030517578,941500,0.0,0.0,,,,,,,,,,,,,,87.90921498693275,0.12000000000000001,0,,,,15.556557238915074,17.452000045776366,19.347442852637656,21.721783198367742,0.16445842206473152,,,,,19.375,,14.630000114440918,14724300.0,-18632635.33812342
2018-12-20 00:00:00-05:00,16.0,16.139999389648438,14.75,15.5,2365200,0.0,0.0,,,,,,,,,,,,17.685000038146974,,79.28010918850082,0.14,0,,,,14.910069060764847,16.8,18.689930939235154,22.49917784803754,0.1560720889287878,16.43664342706854,,,,17.704999923706055,,15.130000114440918,12359100.0,-18445460.11665133
2018-12-21 00:00:00-05:00,15.399999618530273,15.5,13.949999809265137,14.470000267028809,2063000,0.0,0.0,,,,,,,,,,,,17.100454625216397,,70.24589390211071,0.16,0,,,,14.107751585572093,16.030000114440917,17.95224864330974,23.98313805546553,0.09422524611577847,15.676084058268088,,,,17.304999828338623,,16.600000381469727,10296100.0,-19124252.616834372
